id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
10406,2022-01-15,"Massive Fire at Warehouse, Passaic, NJ","181 1st St, Jersey City, NJ 07302, USA",40.86,-74.13,Chemical,,chemical Potentially chlorine pellets,,,,,,,0,"On 15 January 2022, USCG Sector New York notified the NOAA SSC about a massive fire that started at approximately 2030 hours on Friday, January 14, 2022, at the QualCo Incorporated warehouse on Canal Street in Passaic, NJ.  USCG has not requested any NOAA products or support at this time."
10404,2022-01-12,"Diesel Spill along Mississippi River Gulf Outlet, New Orleans, LA","New Orleans, LA, USA",29.986266999999998,-89.901456,Oil,,,,,,,,,0,"On December 27,  2021,  over 7,000bbl of diesel was discharged from a pipeline into impoundments along the  Mississippi River Gulf Outlet. USCG Sector New Orleans has determined that the diesel does not have nexus to a navigable waterway and the State is providing oversight of cleanup efforts.  On January 12, 2022, the NOAA SSC was notified and is supporting NRDA coordination."
10403,2022-01-10,"Spill from Quarter North Oil Well, Louisiana, Gulf of Mexico","LA, Gulf of Mexico",28.97055555999998,-89.50027778,Oil,,,,,,,,,0,"On January 10, 2022, the USCG Sector New Orleans Incident Management Division (IMD) received notification of a discharge of crude oil and natural gas from a Quarter North well into the Gulf of Mexico.  The well and platform were damaged by Hurricane Ida last year. NOAA provided an initial fate & trajectory."
10402,2022-01-09,"Fishing Vessel Grounded, Sandy Hook, NJ","Middletown Township, NJ",40.47766841826535,-74.01847047731279,Oil,,,,,,,,,0,"At 0900 on 9 January 2022, USCG Sector New York notified the NOAA SSC that a 45 foot sport fishing vessel, the ""Time Out"", broke loose from its mooring and grounded on Sandy Hook National Park. Vessel reportedly had approximately 500 gallons of diesel fuel on board. Vessel is intact and no report of any discharge. Owner has submitted a salvage plan to USCG. No products requested."
10405,2022-01-06,"Oil Sheen at Terminal 5,  Harbor Island, Seattle","Seattle, WA",47.58234633064629,-122.36203193664548,Oil,,,,,,,,,0,"On 09-DEC-2021, the USCG Sector Puget Sound was notified of an oil sheen at Terminal 5 on Harbor Island in Seattle, WA. At high tide, there has been a visible persistent sheen and black oil on the fenders. The source is under investigation. The NOAA SSC was contacted 6-JAN for phone support."
10401,2021-12-22,"Tarballs off Bolsa Chica Ecological Reserve, Huntington Beach, CA","Huntington Beach, CA",33.68333333000001,-118.06216666999998,Oil,,,,,,,,,0,"On December 22, 2021, the USCG Sector LA/Long Beach contacted their NOAA SSC regarding a report of sheen and tarballs offshore of Bolsa Chica Ecological Reserve.  Initial USCG overflight info indicates two small areas of rainbow sheen roughly 150’ by 100’ and by 200’, while on-water (vessel-based) observations described some tarballs amongst the sheen.  USCG has requested trajectory support."
10400,2021-12-21,"Water Supply Contamination, Oahu, HI","Honolulu, HI, USA",21.37059553253397,-157.90843107271937,Oil,,,,,,,,,0,"On December 21, NCEH/ATSDR contacted the NOAA SSC for the Pacific Islands, on behalf of the Hawaii Department of Health (DOH), for potential technical support related to an ongoing Navy water supply contamination event on Oahu, Hawaii.  In late November, residents of U.S. Navy’s Joint Base Pearl Harbor-Hickam (JBPHH) on Oahu, Hawaii began reporting fuel-like odors and taste in tap water. The Navy operates its nearby Red Hill Bulk Fuel Storage Facility, which has had historic and recent releases of fuel. The Red Hill fuel storage tanks are located 100 feet above a groundwater aquifer that provides a significant portion of the water supply for the Island of Oahu. The Navy has shut down a well in the Red Hill water system after a sample collected there confirmed the presence of fuel-related contaminants. The Hawaii DOH has issued a public advisory that Navy water system consumers not drink or consume tap water. The Honolulu Board of Water Supply has also shut down a well that draws from the same aquifer as the Navy’s Red Hill well.  Note that the contamination has affected use of water at the NOAA Inouye Regional Center on Ford Island."
10399,2021-12-17,"Diesel fuel discharge from Navy destroyer, Naval Station Norfolk, Virginia","1525 Bayville St, Norfolk, VA 23503, USA",36.96507400422088,-76.29516819783021,Oil,,,,,,,,,0,"On December 18, 2021, USCG Sector Virginia notified the NOAA SSC about a diesel fuel discharge that took place during a fuel transfer operation involving the USS BULKELEY ( a destroyer) at Naval Station Norfolk, VA. An estimated 2,000-3,000 gallons of diesel fuel was discharged into Chesapeake Bay, Virginia. Discharged has been secured and active and passive recovery operations are being employed."
10398,2021-12-17,"Diesel Fuel Leak from Day Tank, Kivalina, AK","Kivalina, AK",67.72555999999997,-164.53444,Oil,,,,,,,,,0,"On December 16, 2021,  the Northwest Arctic Borough School District reported that 1900 gallons of diesel fuel were discharged from a day tank due to a hole in the pipeline. The pipeline is beneath 14 feet of snow. The fuel is suspected to have leached into the soil beneath the pipeline.  USCG Sector Anchorage requested NOAA SSC phone support regarding response."
10397,2021-12-17,"Fishing Vessel Spills Red Dye Diesel at Quileute Marina, La Push, WA","Quileute Marina, La Push, WA, USA",47.91126736170264,-124.63671044703734,Oil,,,,,,,,,0,On the morning of 17th DEC an unknown amount of red dye diesel was spilled at the Quileute Marina from the fishing vessel Native Daughter. The spill occurred at 0930 in the morning. The USCG reported clean up operations are underway and requested a trajectory for the spill.
10394,2021-12-15,"61-ft Paddleboat Sinking, Long Beach, CA","Long Beach, CA",33.75542,-118.15874290000001,Oil,,diesel,,,,,,100,0,"On 15-DEC-2021, the Newport Princess, a 61-ft paddleboat, was observed sitting very low in the water and potentially sinking.  The paddleboat is very near to the shoreline and has approximately 100 gallons of diesel onboard.  Sector LA/LB is requesting a trajectory and fates analysis and a 3-day weather forecast for the location."
10396,2021-12-15,"Black Oil Slick; Huntington Beach, CA","Huntington Beach, CA",33.686353,-118.05221389999998,Oil,,,,,,,,,0,"On 15-Dec-2021, Sector LA-Longbeach received a report of a black oil slick 30 feet by 90 feet in Huntington Beach near Bolsa Chica.  They have requested a trajectory."
10395,2021-12-15,"Transient Vessel Sinking at West Basin, Long Beach, CA","Long Beach, CA",33.7505,-118.23344000000002,Oil,,diesel,,,,,,500,0,"On 15-Dec-2021, a 44-ft transient vessel was found to be sinking and was towed to Pier 10, West Basin, Long Beach.  The vessel is at risk of sinking at the dock with a potential of 500 gallons of diesel onboard.  Sector LA/LB is requesting a fates analysis and trajectory for the next few days to determine potential environmental risk."
10393,2021-12-13,"Tornado-Damaged Warehouse Storing Ammonium Nitrate Fertilizer, Hayti, MO","Hayti, MO, USA",36.22903099999999,-89.698399,Chemical,,,,,,,,,0,"On December 13, 2021, the USCG Sector Lower Mississippi River Incident Management Division contacted the NOAA SSC regarding a damaged warehouse storing approximately 2 million pounds of granulated ammonium nitrate fertilizer.  The warehouse roof was significantly damaged during a recent tornado. The SSC provided USCG with hazard and reactivity information and is standing by for further support as needed."
10392,2021-12-11,"Sheen near Platform Holly; Santa Barbara, CA","Santa Barbara, CA",34.38883333,-119.90616667,Oil,,,,,,,,,0,"On the morning of 11-DEC-2021, USCG Marine Safety Detachment (MSD) Santa Barbara contacted their NOAA SSC regarding a sheen report near Platform Holly.  On 10-DEC-2021, a member of the public took uncrewed aerial system (UAS aka “drone”) photos of sheen which were picked up by local media.  Coal Oil Point seeps are among the most active natural seep areas in the world, releasing an estimated 6,500-7,000 gallons/day of oil.  Platform Holly and other nearby platforms have been shut-in since the Refugio pipeline spill in 2015 and Holly is undergoing decommissioning by the State of CA.  Decommissioning crews report no releases from the platform.  A first light overflight by USCG observed a large, crescent-shaped area of sheen (4 miles east/west by 2 miles north/south).  MSD Santa Barbara requested an oil fate & transport estimate."
10391,2021-12-10,"Red Dye Diesel Spill in Lake Union, Seattle, WA","Northlake Way, Seattle, WA",47.646995775114334,-122.33925059437749,Oil,,,,,,,,,0,On the evening of 20 DEC 2021 the NOAA Regional Response Officer was contacted by the USCG on a red dye diesel sheen in Lake Union located near Northlake Shipyard. The spill is suspected to have occurred early in the morning and could be about 100 Gallons. The Coast Guard requested a trajectory.
10390,2021-12-08,"Petroleum Spill at Dock in Elliott Bay, Seattle","Elliott Bay, Seattle, WA",47.60321999999999,-122.33899,Oil,,,,,,,,,0,"On December 8, 2021, the USCG notified the NOAA SSC that excavation at the Hoffman Construction/Coleman Dock in Elliott Bay, Seattle caused the release of a petroleum product. The source, quantity, and type of petroleum product are unknown. A metal sheet boom surrounds the construction site, a sheen is observed escaping this area. Phone support and resources at risk are requested."
10389,2021-11-30,"Southern Louisiana Oil Platform Breton Sound Release; LA, Gulf of Mexico","LA, Gulf of Mexico",29.465000000000003,-89.16666667,Oil,,,,,,,,,0,"On November 30, 2021, a USCG Sector New Orleans Auxillary overflight discovered a crude oil slick originating from a Southern Louisiana Oil platform in close proximity to North Breton Island. The slick was estimated to be 2nm long and 1/2nm wide. An estimated 50 gallons of oil has been released.  USCG requested fate and trajectory."
10388,2021-11-29,"Mystery Drum, adrift Columbia River","Astoria, OR",46.20312999999999,-123.89564,Other,Adrift|Mystery Substance,Unknown,,,,,,,0,"On November 29, 2021, the USCG Sector Columbia River IMD Astoria requested a trajectory of a partially afloat 50-gallon mystery drum adrift in the Columbia River. There is no visible sheen."
10386,2021-11-27,Glycerol spill to Duwamish Waterway; Seattle,"2400 11th Avenue SW, Seattle",47.58467999999999,-122.3503,Other,,Glycerol,,,,,,1000,0,"In the early morning of 27 NOV 2021, a spill of approx. 1000 gallons glycerol was released from a damaged container to a drain that goes to the Duwamish Waterway in Seattle, WA. The US Coast Guard Sector Puget Sound was notified at approx. 1400. The USCG, WA Department of Ecology, and the cleanup contractor NRC are on scene. Phone support was requested to determine if there are any adverse effects of this product."
10387,2021-11-25,"Crude Oil Spill within Delta National Wildlife Refuge, Venice, LA","Venice, LA, USA",29.27638888999998,-89.24555555999999,Oil,,,,,,,,,0,"On November 22, 2021, the Texas Petroleum Investment Company (""TPIC"") reported an unknown amount of crude oil released into an unnamed canal in the vicinity of Romere Pass within the Delta National Wildlife Refuge. The flowline is shut in and the release is secured.   USCG is working closely with USFWS refuge personnel to determine the appropriate response strategies.  NOAA is providing remote support."
10385,2021-11-21,"WA-OR Marine Pollution Surveillance Report, Offshore Columbia River Coast",Offshore Columbia River Coast,45.92750000000001,-125.58361000000001,Oil,,,,,,,,,0,"On November 21, 2021, a possible oil spill was observed in NOAA satellite imagery. This anomaly is unconfirmed as oil. The anomaly was believed to be a possible bilge dump. It was approximately 44.56 NM long and 0.93 NM at its widest. The dark-shaped anomaly exhibited widening with distance which is a characteristic of a bilge dump. It had high contrast against its surrounding environment. USCG Sector Columbia River requested imagery for this anomaly."
10384,2021-11-19,"Sinking Tow Boat off of Chincoteague, VA","Broadwater, VA, USA",37.321665329511234,-75.66989583894609,Oil,,Diesel Fuel,,,,,,17500,0,"On November 19, 2021, USCG Sector Virginia received an emergency call from the Tugboat LYNX that the vessel was taking on water while towing an empty 80-foot long gasoline barge 32 miles east of Chincoteague, VA. The tug boat has 17,300 gallons of diesel on board.  The tugboat remains afloat, under its own power, and is currently located 24 NMI northeast of the entrance to Chesapeake Bay."
10383,2021-11-14,"Abandoned Vessel Sinking in Friday Harbor; Friday Harbor, WA","Friday Harbor, WA",48.53687400000001,-123.01568400000001,Oil,,,,,,,,,0,At 0900 in the morning of 14 NOV 2021 an abandoned 30ft vessel sank alongside a dock in Friday Harbor. An unknown amount of gasoline was on board the vessel and sheening was seen coming from the vessel after it sank. The vessel is planned to be refloated later in the day. Boom was placed around the vessel. USCG requested a trajectory.
10382,2021-11-13,"Pleasure Craft ZUMA Fuel Transfer Diesel Spill; 5265 Shilshole Ave NW, Seattle, WA 98107, USA","5265 Shilshole Ave NW, Seattle, WA 98107, USA",47.66634700000003,-122.387779,Oil,,,,,,,,,0,"On the morning of 13 NOV 2021, between 100-400 gallons of red dye diesel was spilled at the Stinson Marina during a fuel transfer involving the 60ft pleasure craft ZUMA. The spill was secured. ECY and USCG have been on scene and are working to clean up the oil. The sheen had been reported to have spread through the Ballard Locks and seen near Shilshole Bay Marina. USCG has requested a Trajectory and Resources at Risk."
10381,2021-11-05,"SLOMEN CHENIMUS Mississippi River drum release; Garyville, LA, USA","Garyville, LA, USA",30.046080000000003,-90.64292,Oil,,,,,,,,,0,"On Nov 5 2021, the vessel SLOMEN CHENIMUS lost 4 drums of lubricating oil into the Mississippi River at mm144.6.  At this time, drums are thought to be intact.  USCG requested a trajectory to help locate the drums at first light."
10380,2021-11-04,"Abandoned/Derelict Vessels Sinking, Columbia River, OR","Portland, OR",45.615669999999994,-122.67894,Other,,,,,,,,,0,"On 4-NOV-2021, the NOAA SSC was notified by the USCG MSU Portland that the abandoned and derelict vessel (ADV) Alert sank in the Columbia River near Portland, Oregon. The Tugboat Sakarissa, also an ADV, was moored to the Alert. Previous efforts in 2020 removed hazardous materials from both ships. There is a slight observable sheen in the water from oily residue on the Alert and concern that the Sakarissa will break free and float downriver. The CG has requested phone support, NOAA SSC to assist with consultations and technical assistance as needed."
10379,2021-11-04,"Derelict Barge Leaking Oil, Deep River, OR","85 Waranka Rd, Rosburg, WA, 98643, USA",46.315833330000004,-123.70555556,Oil,Derelict|Mystery Substance,,1,,,,,,0,"On 04-NOV-2021 at 2000, the NOAA SSC was notified by the USCG SCR IMD Astoria of a derelict barge leaking oil. There is an estimated maximum potential of 27,000 gallons of an unknown oil product. There is thick oil observed on the vegetation at the high tide waterline. The case has been federalized, the USCG and Clean Harbors will be on scene in the morning."
10378,2021-11-02,"FV Mattie and Maren; 6G54+22 New Shoreham, RI, USA","6G54+22 New Shoreham, RI, USA",41.20758898181023,-71.49490356445311,Oil,,,,,,,,,0,"The USCG Sector SNE contacted the New England SSC at 0823 on 2 Nov requesting trajectory and fate analysis for a potential fishing vessel that caught fire and sank 2 NM east of Block Island, RI."
10377,2021-11-01,"FV Laura Aground; Chiniak Bay, Kodiak, AK","Sitkalidak Island, Kodiak, AK",56.99582,-153.28493,Oil,,diesel,,,,,,4000,0,"On 1-Nov-2021, FV Laura, an 84'steel hulled vessel ran aground in Chiniak Bay. There is a potential of 4000 gallons of diesel fuel onboard. It is unknown if there is a release at this time. Four persons were rescued. MSD Kodiak is requesting a trajectory for full potential and one-half potential."
10376,2021-10-27,"Mystery Sheen Cleveland Ohio; G77X+J8 Cleveland, OH, USA","G77X+J8 Cleveland, OH, USA",41.514061854701964,-81.70166014926507,Other,,,,,,,,,0,"On October 27, 2021, the USCG Marine Safety Unit (MSU) Cleveland notified the NOAA SSC  of a mystery sheen reported in the vicinity of downtown Cleveland.  The sheen may be of biological origin.  The Ohio Department of Natural Resources is deploying a vessel for on water investigations and sampling if necessary."
10375,2021-10-26,"FV Arctic Ram; Bering Sea, Alaska","Bering Sea, Alaska",54.67500000000001,-165.97166669999996,Oil,,hydraulic fluid,,,,,,300,0,"On 26-Oct-2021, the FV Arctic Ram reported a burst hydraulic line which released approximately 300 gallons of hydraulic oil into the Bering Sea. On scene conditions are reported at 12 foot seas and 30 knot winds. Sector Anchorage is requesting a fates analysis and trajectory."
10374,2021-10-22,Container Ship with Containers Overboard; Washington Coast,Washington Coast & B.C.,48.3384817,-123.36067,Other,,Approx. 110 containers,,1,,,,,1,On the morning of OCT 22 at 0800 the NW SSC was notified of a container ship approximately 40 miles west of the entrance to the Straits of Juan de Fuca lost about 40 containers overboard on the evening of OCT 21 at 2330. Their is a potential the overboard containers contain chemicals. Sector Puget Sound requested trajectories for the containers.
10372,2021-10-22,M/V CALUMET soft aground in Saginaw River; MI,"1219 1st St, Saginaw, MI 48601, USA",43.44586000000001,-83.93641,Oil,,,,,,,,,0,"On October 22, 2021, the USCG Sector Detroit emailed stakeholders to share incident details of M/V CALUMET soft aground near the Lake State Railroad Bridge in the Saginaw River. USCG is on scene, no pollution reports at this time. Tug assist should be onscene at 0630 eastern time on 10.22.21. USCG will conduct an overflight of the incident area at first light. Hotline created in case situation worsens."
10373,2021-10-21,"Cook Inlet Beluga Drift; Turnagain Arm, Cook Inlet, Alaska","Turnagain Arm, Cook Inlet, Alaska",60.903823999999986,-150.0289,Other,,,,,,,,,0,"On October 21, 2021, the National Marine Fisheries Service (NMFS) received a report of 1 or possibly 2 dead belugas in Cook Inlet.  The first sighting was on 10/15. On 10/21 NMFS received a second report.  Based on prevailing currents and weather the past few days, NMFS is requesting assistance in determining if this could be the same beluga."
